Elements,FileID,Loadcase,Step,Element Stresses (1D):CBAR/CBEAM Axial Stress
40,2,1,0,-78.70057678223
41,2,1,0,-71.53981018066
42,2,1,0,-80.73697662354
43,2,1,0,-82.37601470947
44,2,1,0,-86.37313842773
45,2,1,0,-86.28819274902
46,2,1,0,-82.50156402588
47,2,1,0,-85.02037048340
48,2,1,0,-86.29906463623
49,2,1,0,-70.34712982178
50,2,1,0,-84.18387603760
51,2,1,0,-98.12537384033
52,2,1,0,-84.07612609863
53,2,1,0,-84.08821105957
54,2,1,0,-84.07612609863
55,2,1,0,-98.12537384033
56,2,1,0,-84.18387603760
57,2,1,0,-70.34712982178
58,2,1,0,-86.29906463623
59,2,1,0,-85.02037048340
60,2,1,0,-82.50156402588
61,2,1,0,-86.28819274902
62,2,1,0,-86.37313842773
63,2,1,0,-82.37601470947
64,2,1,0,-80.73697662354
65,2,1,0,-71.53981018066
66,2,1,0,-78.70057678223
40,2,2,0,-86.01786804199
41,2,2,0,-90.33615875244
42,2,2,0,-88.05426788330
43,2,2,0,-78.44107055664
44,2,2,0,-82.55988311768
45,2,2,0,-82.35325622559
46,2,2,0,-77.95283508301
47,2,2,0,-80.13037872314
48,2,2,0,-81.75034332275
49,2,2,0,-66.12239837646
50,2,2,0,-79.95503997803
51,2,2,0,-93.90064239502
52,2,2,0,-79.94857788086
53,2,2,0,-80.00769805908
54,2,2,0,-79.94857788086
55,2,2,0,-93.90064239502
56,2,2,0,-79.95503997803
57,2,2,0,-66.12239837646
58,2,2,0,-81.75034332275
59,2,2,0,-80.13037872314
60,2,2,0,-77.95283508301
61,2,2,0,-82.35325622559
62,2,2,0,-82.55988311768
63,2,2,0,-78.44107055664
64,2,2,0,-88.05426788330
65,2,2,0,-90.33615875244
66,2,2,0,-86.01786804199
40,2,3,0,-22.50012779236
41,2,3,0,-23.84660339355
42,2,3,0,-30.64572334290
43,2,3,0,-20.28633880615
44,2,3,0,-28.79104614258
45,2,3,0,-35.93506240845
46,2,3,0,-20.53842735291
47,2,3,0,-28.34012413025
48,2,3,0,-35.72845077515
49,2,3,0,27.47773551941
50,2,3,0,-28.06129074097
51,2,3,0,-83.63523864746
52,2,3,0,-28.02537536621
53,2,3,0,-28.02940177917
54,2,3,0,-28.02537536621
55,2,3,0,-83.63523864746
56,2,3,0,-28.06129074097
57,2,3,0,27.47773551941
58,2,3,0,-35.72845077515
59,2,3,0,-28.34012413025
60,2,3,0,-20.53842735291
61,2,3,0,-35.93506240845
62,2,3,0,-28.79104614258
63,2,3,0,-20.28633880615
64,2,3,0,-30.64572334290
65,2,3,0,-23.84660339355
66,2,3,0,-22.50012779236
