Element ID,Component Name
1,panel1
2,panel1
3,panel1
4,panel2
5,panel2
6,panel2
7,panel3
8,panel3
9,panel3
10,panel4
11,panel4
12,panel4
13,panel5
14,panel5
15,panel5
16,panel6
17,panel6
18,panel6
19,panel7
20,panel7
21,panel7
22,panel8
23,panel8
24,panel8
25,panel9
26,panel9
27,panel9
28,panel10
29,panel10
30,panel10
40,stringer1
41,stringer1
42,stringer1
43,stringer2
44,stringer2
45,stringer2
46,stringer3
47,stringer3
48,stringer3
49,stringer4
50,stringer4
51,stringer4
52,stringer5
53,stringer5
54,stringer5
55,stringer6
56,stringer6
57,stringer6
58,stringer7
59,stringer7
60,stringer7
61,stringer8
62,stringer8
63,stringer8
64,stringer9
65,stringer9
66,stringer9
