Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
1,2,1,0,Mid,-66.666305541992,26.245475769043,12.748805046082
2,2,1,0,Mid,-82.966629028320,27.096536636353,20.870910644531
3,2,1,0,Mid,-67.625518798828,36.970348358154,20.740283966064
4,2,1,0,Mid,-97.671310424805,34.519210815430,2.415039062500
5,2,1,0,Mid,-89.500595092773,27.043043136597,25.345720291138
6,2,1,0,Mid,-96.286712646484,28.461309432983,26.599239349365
7,2,1,0,Mid,-94.140281677246,33.471534729004,-2.961560010910
8,2,1,0,Mid,-96.158996582031,26.793466567993,20.016576766968
9,2,1,0,Mid,-93.573272705078,29.762025833130,37.304985046387
10,2,1,0,Mid,-87.247833251953,35.385482788086,-10.683673858643
11,2,1,0,Mid,-94.310363769531,21.605464935303,18.344751358032
12,2,1,0,Mid,-100.330078125000,34.412555694580,46.698925018311
13,2,1,0,Mid,-86.059440612793,56.754703521729,4.837127685547
14,2,1,0,Mid,-93.506134033203,46.371627807617,17.977231979370
15,2,1,0,Mid,-100.820007324219,56.629371643066,31.545640945435
16,2,1,0,Mid,-100.820007324219,56.629371643066,31.545640945435
17,2,1,0,Mid,-93.506134033203,46.371627807617,17.977231979370
18,2,1,0,Mid,-86.059440612793,56.754703521729,4.837127685547
19,2,1,0,Mid,-100.330078125000,34.412555694580,46.698925018311
20,2,1,0,Mid,-94.310363769531,21.605464935303,18.344751358032
21,2,1,0,Mid,-87.247833251953,35.385482788086,-10.683673858643
22,2,1,0,Mid,-93.573272705078,29.762025833130,37.304985046387
23,2,1,0,Mid,-96.158996582031,26.793466567993,20.016576766968
24,2,1,0,Mid,-94.140281677246,33.471534729004,-2.961560010910
25,2,1,0,Mid,-96.286712646484,28.461309432983,26.599239349365
26,2,1,0,Mid,-89.500595092773,27.043043136597,25.345720291138
27,2,1,0,Mid,-97.671310424805,34.519210815430,2.415039062500
28,2,1,0,Mid,-67.625518798828,36.970348358154,20.740283966064
29,2,1,0,Mid,-82.966629028320,27.096536636353,20.870910644531
30,2,1,0,Mid,-66.666305541992,26.245475769043,12.748805046082
1,2,2,0,Mid,-68.810890197754,27.580455780029,-22.994318008423
2,2,2,0,Mid,-83.630760192871,27.096536636353,-16.362842559814
3,2,2,0,Mid,-69.770103454590,35.635368347168,-15.002839088440
4,2,2,0,Mid,-97.147804260254,33.257522583008,-33.237979888916
5,2,2,0,Mid,-88.314819335938,27.043043136597,-12.068240165710
6,2,2,0,Mid,-95.763214111328,29.722997665405,-9.053779602051
7,2,2,0,Mid,-94.847724914551,33.173042297363,-39.239723205566
8,2,2,0,Mid,-96.342391967773,26.793466567993,-16.147100448608
9,2,2,0,Mid,-94.280715942383,30.060516357422,1.026821970940
10,2,2,0,Mid,-88.247200012207,35.466026306152,-47.002834320068
11,2,2,0,Mid,-95.321014404297,21.605464935303,-17.736928939819
12,2,2,0,Mid,-101.329444885254,34.332012176514,10.379763603210
13,2,2,0,Mid,-87.090469360352,56.792259216309,-31.428913116455
14,2,2,0,Mid,-94.586883544922,46.371627807617,-18.210685729980
15,2,2,0,Mid,-101.851036071777,56.591812133789,-4.720401287079
16,2,2,0,Mid,-101.851036071777,56.591812133789,-4.720401287079
17,2,2,0,Mid,-94.586883544922,46.371627807617,-18.210685729980
18,2,2,0,Mid,-87.090469360352,56.792259216309,-31.428913116455
19,2,2,0,Mid,-101.329444885254,34.332012176514,10.379763603210
20,2,2,0,Mid,-95.321014404297,21.605464935303,-17.736928939819
21,2,2,0,Mid,-88.247200012207,35.466026306152,-47.002834320068
22,2,2,0,Mid,-94.280715942383,30.060516357422,1.026821970940
23,2,2,0,Mid,-96.342391967773,26.793466567993,-16.147100448608
24,2,2,0,Mid,-94.847724914551,33.173042297363,-39.239723205566
25,2,2,0,Mid,-95.763214111328,29.722997665405,-9.053779602051
26,2,2,0,Mid,-88.314819335938,27.043043136597,-12.068240165710
27,2,2,0,Mid,-97.147804260254,33.257522583008,-33.237979888916
28,2,2,0,Mid,-69.770103454590,35.635368347168,-15.002839088440
29,2,2,0,Mid,-83.630760192871,27.096536636353,-16.362842559814
30,2,2,0,Mid,-68.810890197754,27.580455780029,-22.994318008423
1,2,3,0,Mid,-20.328018188477,123.818710327148,-10.332559585571
2,2,3,0,Mid,-27.472394943237,107.668357849121,6.910897731781
3,2,3,0,Mid,-24.139472961426,127.369995117188,21.421661376953
4,2,3,0,Mid,-34.863105773926,126.129821777344,-43.244392395020
5,2,3,0,Mid,-29.635959625244,107.455802917480,8.392622947693
6,2,3,0,Mid,-29.361406326294,124.123893737793,52.851768493652
7,2,3,0,Mid,-32.204910278320,126.243743896484,-74.313758850098
8,2,3,0,Mid,-31.840726852417,106.464103698730,6.628005504608
9,2,3,0,Mid,-29.951896667480,125.015434265137,85.685752868652
10,2,3,0,Mid,-5.064733028412,138.832672119141,-108.042373657227
11,2,3,0,Mid,-31.228597640991,85.849533081055,6.074420928955
12,2,3,0,Mid,-57.047157287598,138.510513305664,119.967948913574
13,2,3,0,Mid,-1.614675998688,225.287124633789,-47.039634704590
14,2,3,0,Mid,-30.962297439575,184.258117675781,5.952725887299
15,2,3,0,Mid,-60.265937805176,225.245620727539,59.086906433105
16,2,3,0,Mid,-60.265937805176,225.245620727539,59.086906433105
17,2,3,0,Mid,-30.962297439575,184.258117675781,5.952725887299
18,2,3,0,Mid,-1.614675998688,225.287124633789,-47.039634704590
19,2,3,0,Mid,-57.047157287598,138.510513305664,119.967948913574
20,2,3,0,Mid,-31.228597640991,85.849533081055,6.074420928955
21,2,3,0,Mid,-5.064733028412,138.832672119141,-108.042373657227
22,2,3,0,Mid,-29.951896667480,125.015434265137,85.685752868652
23,2,3,0,Mid,-31.840726852417,106.464103698730,6.628005504608
24,2,3,0,Mid,-32.204910278320,126.243743896484,-74.313758850098
25,2,3,0,Mid,-29.361406326294,124.123893737793,52.851768493652
26,2,3,0,Mid,-29.635959625244,107.455802917480,8.392622947693
27,2,3,0,Mid,-34.863105773926,126.129821777344,-43.244392395020
28,2,3,0,Mid,-24.139472961426,127.369995117188,21.421661376953
29,2,3,0,Mid,-27.472394943237,107.668357849121,6.910897731781
30,2,3,0,Mid,-20.328018188477,123.818710327148,-10.332559585571
