Elements,FileID,Loadcase,Step,Element Stresses (1D):CBAR/CBEAM Axial Stress
40,2,1,0,-76.13
41,2,1,0,-69.20
42,2,1,0,-78.10
43,2,1,0,-79.68
44,2,1,0,-83.55
45,2,1,0,-83.47
46,2,1,0,-79.81
47,2,1,0,-82.24
48,2,1,0,-83.48
49,2,1,0,-68.05
50,2,1,0,-81.43
51,2,1,0,-94.92
52,2,1,0,-81.33
53,2,1,0,-81.34
54,2,1,0,-81.33
55,2,1,0,-94.92
56,2,1,0,-81.43
57,2,1,0,-68.05
58,2,1,0,-83.48
59,2,1,0,-82.24
60,2,1,0,-79.81
61,2,1,0,-83.47
62,2,1,0,-83.55
63,2,1,0,-79.68
64,2,1,0,-78.10
65,2,1,0,-69.20
66,2,1,0,-76.13
40,2,2,0,-83.21
41,2,2,0,-87.38
42,2,2,0,-85.18
43,2,2,0,-75.88
44,2,2,0,-79.86
45,2,2,0,-79.66
46,2,2,0,-75.41
47,2,2,0,-77.51
48,2,2,0,-79.08
49,2,2,0,-63.96
50,2,2,0,-77.34
51,2,2,0,-90.83
52,2,2,0,-77.34
53,2,2,0,-77.39
54,2,2,0,-77.34
55,2,2,0,-90.83
56,2,2,0,-77.34
57,2,2,0,-63.96
58,2,2,0,-79.08
59,2,2,0,-77.51
60,2,2,0,-75.41
61,2,2,0,-79.66
62,2,2,0,-79.86
63,2,2,0,-75.88
64,2,2,0,-85.18
65,2,2,0,-87.38
66,2,2,0,-83.21
40,2,3,0,-21.84
41,2,3,0,-23.15
42,2,3,0,-29.74
43,2,3,0,-19.69
44,2,3,0,-27.94
45,2,3,0,-34.88
46,2,3,0,-19.93
47,2,3,0,-27.51
48,2,3,0,-34.68
49,2,3,0,26.67
50,2,3,0,-27.24
51,2,3,0,-81.18
52,2,3,0,-27.20
53,2,3,0,-27.21
54,2,3,0,-27.20
55,2,3,0,-81.18
56,2,3,0,-27.24
57,2,3,0,26.67
58,2,3,0,-34.68
59,2,3,0,-27.51
60,2,3,0,-19.93
61,2,3,0,-34.88
62,2,3,0,-27.94
63,2,3,0,-19.69
64,2,3,0,-29.74
65,2,3,0,-23.15
66,2,3,0,-21.84
