Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
1,2,1,0,Mid,-65.34,25.72,12.50
2,2,1,0,Mid,-81.32,26.56,20.46
3,2,1,0,Mid,-66.28,36.24,20.33
4,2,1,0,Mid,-95.73,33.83,2.37
5,2,1,0,Mid,-87.72,26.51,24.84
6,2,1,0,Mid,-94.37,27.90,26.07
7,2,1,0,Mid,-92.27,32.81,-2.90
8,2,1,0,Mid,-94.25,26.26,19.62
9,2,1,0,Mid,-91.71,29.17,36.56
10,2,1,0,Mid,-85.51,34.68,-10.47
11,2,1,0,Mid,-92.44,21.18,17.98
12,2,1,0,Mid,-98.34,33.73,45.77
13,2,1,0,Mid,-84.35,55.63,4.74
14,2,1,0,Mid,-91.65,45.45,17.62
15,2,1,0,Mid,-98.82,55.50,30.92
16,2,1,0,Mid,-98.82,55.50,30.92
17,2,1,0,Mid,-91.65,45.45,17.62
18,2,1,0,Mid,-84.35,55.63,4.74
19,2,1,0,Mid,-98.34,33.73,45.77
20,2,1,0,Mid,-92.44,21.18,17.98
21,2,1,0,Mid,-85.51,34.68,-10.47
22,2,1,0,Mid,-91.71,29.17,36.56
23,2,1,0,Mid,-94.25,26.26,19.62
24,2,1,0,Mid,-92.27,32.81,-2.90
25,2,1,0,Mid,-94.37,27.90,26.07
26,2,1,0,Mid,-87.72,26.51,24.84
27,2,1,0,Mid,-95.73,33.83,2.37
28,2,1,0,Mid,-66.28,36.24,20.33
29,2,1,0,Mid,-81.32,26.56,20.46
30,2,1,0,Mid,-65.34,25.72,12.50
1,2,2,0,Mid,-67.44,27.03,-22.54
2,2,2,0,Mid,-81.97,26.56,-16.04
3,2,2,0,Mid,-68.38,34.93,-14.70
4,2,2,0,Mid,-95.22,32.60,-32.58
5,2,2,0,Mid,-86.56,26.51,-11.83
6,2,2,0,Mid,-93.86,29.13,-8.87
7,2,2,0,Mid,-92.96,32.51,-38.46
8,2,2,0,Mid,-94.43,26.26,-15.83
9,2,2,0,Mid,-92.41,29.46,1.01
10,2,2,0,Mid,-86.49,34.76,-46.07
11,2,2,0,Mid,-93.43,21.18,-17.38
12,2,2,0,Mid,-99.32,33.65,10.17
13,2,2,0,Mid,-85.36,55.66,-30.80
14,2,2,0,Mid,-92.71,45.45,-17.85
15,2,2,0,Mid,-99.83,55.47,-4.63
16,2,2,0,Mid,-99.83,55.47,-4.63
17,2,2,0,Mid,-92.71,45.45,-17.85
18,2,2,0,Mid,-85.36,55.66,-30.80
19,2,2,0,Mid,-99.32,33.65,10.17
20,2,2,0,Mid,-93.43,21.18,-17.38
21,2,2,0,Mid,-86.49,34.76,-46.07
22,2,2,0,Mid,-92.41,29.46,1.01
23,2,2,0,Mid,-94.43,26.26,-15.83
24,2,2,0,Mid,-92.96,32.51,-38.46
25,2,2,0,Mid,-93.86,29.13,-8.87
26,2,2,0,Mid,-86.56,26.51,-11.83
27,2,2,0,Mid,-95.22,32.60,-32.58
28,2,2,0,Mid,-68.38,34.93,-14.70
29,2,2,0,Mid,-81.97,26.56,-16.04
30,2,2,0,Mid,-67.44,27.03,-22.54
1,2,3,0,Mid,-20.12,122.58,-10.23
2,2,3,0,Mid,-27.20,106.59,6.84
3,2,3,0,Mid,-23.90,126.10,21.21
4,2,3,0,Mid,-34.51,124.87,-42.81
5,2,3,0,Mid,-29.34,106.38,8.31
6,2,3,0,Mid,-29.07,122.88,52.32
7,2,3,0,Mid,-31.88,124.98,-73.57
8,2,3,0,Mid,-31.52,105.40,6.56
9,2,3,0,Mid,-29.65,123.77,84.83
10,2,3,0,Mid,-5.01,137.44,-106.96
11,2,3,0,Mid,-30.92,84.99,6.01
12,2,3,0,Mid,-56.48,137.13,118.77
13,2,3,0,Mid,-1.60,223.03,-46.57
14,2,3,0,Mid,-30.65,182.42,5.89
15,2,3,0,Mid,-59.66,222.99,58.50
16,2,3,0,Mid,-59.66,222.99,58.50
17,2,3,0,Mid,-30.65,182.42,5.89
18,2,3,0,Mid,-1.60,223.03,-46.57
19,2,3,0,Mid,-56.48,137.13,118.77
20,2,3,0,Mid,-30.92,84.99,6.01
21,2,3,0,Mid,-5.01,137.44,-106.96
22,2,3,0,Mid,-29.65,123.77,84.83
23,2,3,0,Mid,-31.52,105.40,6.56
24,2,3,0,Mid,-31.88,124.98,-73.57
25,2,3,0,Mid,-29.07,122.88,52.32
26,2,3,0,Mid,-29.34,106.38,8.31
27,2,3,0,Mid,-34.51,124.87,-42.81
28,2,3,0,Mid,-23.90,126.10,21.21
29,2,3,0,Mid,-27.20,106.59,6.84
30,2,3,0,Mid,-20.12,122.58,-10.23
