Element ID,Component Name
40,stringer1
41,stringer1
42,stringer1
43,stringer2
44,stringer2
45,stringer2
46,stringer3
47,stringer3
48,stringer3
49,stringer4
50,stringer4
51,stringer4
52,stringer5
53,stringer5
54,stringer5
55,stringer6
56,stringer6
57,stringer6
58,stringer7
59,stringer7
60,stringer7
61,stringer8
62,stringer8
63,stringer8
64,stringer9
65,stringer9
66,stringer9
40,stringer1
41,stringer1
42,stringer1
43,stringer2
44,stringer2
45,stringer2
46,stringer3
47,stringer3
48,stringer3
49,stringer4
50,stringer4
51,stringer4
52,stringer5
53,stringer5
54,stringer5
55,stringer6
56,stringer6
57,stringer6
58,stringer7
59,stringer7
60,stringer7
61,stringer8
62,stringer8
63,stringer8
64,stringer9
65,stringer9
66,stringer9
40,stringer1
41,stringer1
42,stringer1
43,stringer2
44,stringer2
45,stringer2
46,stringer3
47,stringer3
48,stringer3
49,stringer4
50,stringer4
51,stringer4
52,stringer5
53,stringer5
54,stringer5
55,stringer6
56,stringer6
57,stringer6
58,stringer7
59,stringer7
60,stringer7
61,stringer8
62,stringer8
63,stringer8
64,stringer9
65,stringer9
66,stringer9
