Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
1,2,1,0,Mid,-65.78330993652,25.89785385132,12.57994651794
2,2,1,0,Mid,-81.86773681641,26.73764228821,20.59447479248
3,2,1,0,Mid,-66.72982025146,36.48067474365,20.46557807922
4,2,1,0,Mid,-96.37764739990,34.06200408936,2.38305187225
5,2,1,0,Mid,-88.31516265869,26.68485832214,25.01001548767
6,2,1,0,Mid,-95.01139068604,28.08433723450,26.24693107605
7,2,1,0,Mid,-92.89338684082,33.02820205688,-2.92233419418
8,2,1,0,Mid,-94.88536834717,26.43858528137,19.75145530701
9,2,1,0,Mid,-92.33389282227,29.36782646179,36.81087875366
10,2,1,0,Mid,-86.09223175049,34.91680145264,-10.54216861725
11,2,1,0,Mid,-93.06122589111,21.31929969788,18.10177421570
12,2,1,0,Mid,-99.00120544434,33.95676040649,46.08039474487
13,2,1,0,Mid,-84.91958618164,56.00298690796,4.77305984497
14,2,1,0,Mid,-92.26764678955,45.75743484497,17.73912239075
15,2,1,0,Mid,-99.48464202881,55.87931060791,31.12781715393
16,2,1,0,Mid,-99.48464202881,55.87931060791,31.12781715393
17,2,1,0,Mid,-92.26764678955,45.75743484497,17.73912239075
18,2,1,0,Mid,-84.91958618164,56.00298690796,4.77305984497
19,2,1,0,Mid,-99.00120544434,33.95676040649,46.08039474487
20,2,1,0,Mid,-93.06122589111,21.31929969788,18.10177421570
21,2,1,0,Mid,-86.09223175049,34.91680145264,-10.54216861725
22,2,1,0,Mid,-92.33389282227,29.36782646179,36.81087875366
23,2,1,0,Mid,-94.88536834717,26.43858528137,19.75145530701
24,2,1,0,Mid,-92.89338684082,33.02820205688,-2.92233419418
25,2,1,0,Mid,-95.01139068604,28.08433723450,26.24693107605
26,2,1,0,Mid,-88.31516265869,26.68485832214,25.01001548767
27,2,1,0,Mid,-96.37764739990,34.06200408936,2.38305187225
28,2,1,0,Mid,-66.72982025146,36.48067474365,20.46557807922
29,2,1,0,Mid,-81.86773681641,26.73764228821,20.59447479248
30,2,1,0,Mid,-65.78330993652,25.89785385132,12.57994651794
1,2,2,0,Mid,-67.89949035645,27.21515083313,-22.68975830078
2,2,2,0,Mid,-82.52307128906,26.73764228821,-16.14611625671
3,2,2,0,Mid,-68.84600067139,35.16337966919,-14.80412578583
4,2,2,0,Mid,-95.86107635498,32.81702423096,-32.79774093628
5,2,2,0,Mid,-87.14508819580,26.68485832214,-11.90839576721
6,2,2,0,Mid,-94.49482727051,29.32931518555,-8.93386173248
7,2,2,0,Mid,-93.59146118164,32.73366546631,-38.71998977661
8,2,2,0,Mid,-95.06632995605,26.43858528137,-15.93323135376
9,2,2,0,Mid,-93.03196716309,29.66236495972,1.01322162151
10,2,2,0,Mid,-87.07836914063,34.99627685547,-46.38027954102
11,2,2,0,Mid,-94.05848693848,21.31929969788,-17.50200271606
12,2,2,0,Mid,-99.98733520508,33.87728118896,10.24228286743
13,2,2,0,Mid,-85.93695068359,56.04004669189,-31.01263618469
14,2,2,0,Mid,-93.33408355713,45.75743484497,-17.96948432922
15,2,2,0,Mid,-100.50201416016,55.84225082397,-4.65787935257
16,2,2,0,Mid,-100.50201416016,55.84225082397,-4.65787935257
17,2,2,0,Mid,-93.33408355713,45.75743484497,-17.96948432922
18,2,2,0,Mid,-85.93695068359,56.04004669189,-31.01263618469
19,2,2,0,Mid,-99.98733520508,33.87728118896,10.24228286743
20,2,2,0,Mid,-94.05848693848,21.31929969788,-17.50200271606
21,2,2,0,Mid,-87.07836914063,34.99627685547,-46.38027954102
22,2,2,0,Mid,-93.03196716309,29.66236495972,1.01322162151
23,2,2,0,Mid,-95.06632995605,26.43858528137,-15.93323135376
24,2,2,0,Mid,-93.59146118164,32.73366546631,-38.71998977661
25,2,2,0,Mid,-94.49482727051,29.32931518555,-8.93386173248
26,2,2,0,Mid,-87.14508819580,26.68485832214,-11.90839576721
27,2,2,0,Mid,-95.86107635498,32.81702423096,-32.79774093628
28,2,2,0,Mid,-68.84600067139,35.16337966919,-14.80412578583
29,2,2,0,Mid,-82.52307128906,26.73764228821,-16.14611625671
30,2,2,0,Mid,-67.89949035645,27.21515083313,-22.68975830078
1,2,3,0,Mid,-20.12473869324,122.58052825928,-10.22923374176
2,2,3,0,Mid,-27.19766998291,106.59167480469,6.84178876877
3,2,3,0,Mid,-23.89807891846,126.09629821777,21.20744514465
4,2,3,0,Mid,-34.51447296143,124.86853027344,-42.81194686890
5,2,3,0,Mid,-29.33959960938,106.38124084473,8.30869674683
6,2,3,0,Mid,-29.06779098511,122.88265991211,52.32325363159
7,2,3,0,Mid,-31.88286018372,124.98130798340,-73.57061767578
