Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
1,2,1,0,Mid,-65.78,25.90,12.58
2,2,1,0,Mid,-81.87,26.74,20.59
3,2,1,0,Mid,-66.73,36.48,20.47
4,2,1,0,Mid,-96.38,34.06,2.38
5,2,1,0,Mid,-88.32,26.68,25.01
6,2,1,0,Mid,-95.01,28.08,26.25
7,2,1,0,Mid,-92.89,33.03,-2.92
8,2,1,0,Mid,-94.89,26.44,19.75
9,2,1,0,Mid,-92.33,29.37,36.81
10,2,1,0,Mid,-86.09,34.92,-10.54
11,2,1,0,Mid,-93.06,21.32,18.10
12,2,1,0,Mid,-99.00,33.96,46.08
13,2,1,0,Mid,-84.92,56.00,4.77
14,2,1,0,Mid,-92.27,45.76,17.74
15,2,1,0,Mid,-99.48,55.88,31.13
16,2,1,0,Mid,-99.48,55.88,31.13
17,2,1,0,Mid,-92.27,45.76,17.74
18,2,1,0,Mid,-84.92,56.00,4.77
19,2,1,0,Mid,-99.00,33.96,46.08
20,2,1,0,Mid,-93.06,21.32,18.10
21,2,1,0,Mid,-86.09,34.92,-10.54
22,2,1,0,Mid,-92.33,29.37,36.81
23,2,1,0,Mid,-94.89,26.44,19.75
24,2,1,0,Mid,-92.89,33.03,-2.92
25,2,1,0,Mid,-95.01,28.08,26.25
26,2,1,0,Mid,-88.32,26.68,25.01
27,2,1,0,Mid,-96.38,34.06,2.38
28,2,1,0,Mid,-66.73,36.48,20.47
29,2,1,0,Mid,-81.87,26.74,20.59
30,2,1,0,Mid,-65.78,25.90,12.58
1,2,2,0,Mid,-67.90,27.22,-22.69
2,2,2,0,Mid,-82.52,26.74,-16.15
3,2,2,0,Mid,-68.85,35.16,-14.80
4,2,2,0,Mid,-95.86,32.82,-32.80
5,2,2,0,Mid,-87.15,26.68,-11.91
6,2,2,0,Mid,-94.49,29.33,-8.93
7,2,2,0,Mid,-93.59,32.73,-38.72
8,2,2,0,Mid,-95.07,26.44,-15.93
9,2,2,0,Mid,-93.03,29.66,1.01
10,2,2,0,Mid,-87.08,35.00,-46.38
11,2,2,0,Mid,-94.06,21.32,-17.50
12,2,2,0,Mid,-99.99,33.88,10.24
13,2,2,0,Mid,-85.94,56.04,-31.01
14,2,2,0,Mid,-93.33,45.76,-17.97
15,2,2,0,Mid,-100.50,55.84,-4.66
16,2,2,0,Mid,-100.50,55.84,-4.66
17,2,2,0,Mid,-93.33,45.76,-17.97
18,2,2,0,Mid,-85.94,56.04,-31.01
19,2,2,0,Mid,-99.99,33.88,10.24
20,2,2,0,Mid,-94.06,21.32,-17.50
21,2,2,0,Mid,-87.08,35.00,-46.38
22,2,2,0,Mid,-93.03,29.66,1.01
23,2,2,0,Mid,-95.07,26.44,-15.93
24,2,2,0,Mid,-93.59,32.73,-38.72
25,2,2,0,Mid,-94.49,29.33,-8.93
26,2,2,0,Mid,-87.15,26.68,-11.91
27,2,2,0,Mid,-95.86,32.82,-32.80
28,2,2,0,Mid,-68.85,35.16,-14.80
29,2,2,0,Mid,-82.52,26.74,-16.15
30,2,2,0,Mid,-67.90,27.22,-22.69
1,2,3,0,Mid,-20.12,122.58,-10.23
2,2,3,0,Mid,-27.20,106.59,6.84
3,2,3,0,Mid,-23.90,126.10,21.21
4,2,3,0,Mid,-34.51,124.87,-42.81
5,2,3,0,Mid,-29.34,106.38,8.31
6,2,3,0,Mid,-29.07,122.88,52.32
7,2,3,0,Mid,-31.88,124.98,-73.57
8,2,3,0,Mid,-31.52,105.40,6.56
9,2,3,0,Mid,-29.65,123.77,84.83
10,2,3,0,Mid,-5.01,137.44,-106.96
11,2,3,0,Mid,-30.92,84.99,6.01
12,2,3,0,Mid,-56.48,137.13,118.77
13,2,3,0,Mid,-1.60,223.03,-46.57
14,2,3,0,Mid,-30.65,182.42,5.89
15,2,3,0,Mid,-59.66,222.99,58.50
16,2,3,0,Mid,-59.66,222.99,58.50
17,2,3,0,Mid,-30.65,182.42,5.89
18,2,3,0,Mid,-1.60,223.03,-46.57
19,2,3,0,Mid,-56.48,137.13,118.77
20,2,3,0,Mid,-30.92,84.99,6.01
21,2,3,0,Mid,-5.01,137.44,-106.96
22,2,3,0,Mid,-29.65,123.77,84.83
23,2,3,0,Mid,-31.52,105.40,6.56
24,2,3,0,Mid,-31.88,124.98,-73.57
25,2,3,0,Mid,-29.07,122.88,52.32
26,2,3,0,Mid,-29.34,106.38,8.31
27,2,3,0,Mid,-34.51,124.87,-42.81
28,2,3,0,Mid,-23.90,126.10,21.21
29,2,3,0,Mid,-27.20,106.59,6.84
30,2,3,0,Mid,-20.12,122.58,-10.23
