Elements,FileID,Loadcase,Step,Element Stresses (1D):CBAR/CBEAM Axial Stress
40,2,1,0,-76.64
41,2,1,0,-69.67
42,2,1,0,-78.63
43,2,1,0,-80.22
44,2,1,0,-84.12
45,2,1,0,-84.03
46,2,1,0,-80.34
47,2,1,0,-82.80
48,2,1,0,-84.04
49,2,1,0,-68.51
50,2,1,0,-81.98
51,2,1,0,-95.56
52,2,1,0,-81.88
53,2,1,0,-81.89
54,2,1,0,-81.88
55,2,1,0,-95.56
56,2,1,0,-81.98
57,2,1,0,-68.51
58,2,1,0,-84.04
59,2,1,0,-82.80
60,2,1,0,-80.34
61,2,1,0,-84.03
62,2,1,0,-84.12
63,2,1,0,-80.22
64,2,1,0,-78.63
65,2,1,0,-69.67
66,2,1,0,-76.64
40,2,2,0,-83.77
41,2,2,0,-87.97
42,2,2,0,-85.75
43,2,2,0,-76.39
44,2,2,0,-80.40
45,2,2,0,-80.20
46,2,2,0,-75.91
47,2,2,0,-78.04
48,2,2,0,-79.61
49,2,2,0,-64.39
50,2,2,0,-77.86
51,2,2,0,-91.45
52,2,2,0,-77.86
53,2,2,0,-77.92
54,2,2,0,-77.86
55,2,2,0,-91.45
56,2,2,0,-77.86
57,2,2,0,-64.39
58,2,2,0,-79.61
59,2,2,0,-78.04
60,2,2,0,-75.91
61,2,2,0,-80.20
62,2,2,0,-80.40
63,2,2,0,-76.39
64,2,2,0,-85.75
65,2,2,0,-87.97
66,2,2,0,-83.77
40,2,3,0,-21.84
41,2,3,0,-23.15
42,2,3,0,-29.74
43,2,3,0,-19.69
44,2,3,0,-27.94
45,2,3,0,-34.88
46,2,3,0,-19.93
47,2,3,0,-27.51
48,2,3,0,-34.68
49,2,3,0,26.67
50,2,3,0,-27.24
51,2,3,0,-81.18
52,2,3,0,-27.20
53,2,3,0,-27.21
54,2,3,0,-27.20
55,2,3,0,-81.18
56,2,3,0,-27.24
57,2,3,0,26.67
58,2,3,0,-34.68
59,2,3,0,-27.51
60,2,3,0,-19.93
61,2,3,0,-34.88
62,2,3,0,-27.94
63,2,3,0,-19.69
64,2,3,0,-29.74
65,2,3,0,-23.15
66,2,3,0,-21.84
